"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","32.20","33.00","33.00","32.00","12.05M","-2.42%"
"12/31/2024","33.00","32.80","33.30","32.50","3.57M","0.46%"
"12/30/2024","32.85","33.90","34.10","32.60","9.57M","-3.10%"
"12/27/2024","33.90","33.80","34.35","33.60","5.11M","0.30%"
"12/24/2024","33.80","34.25","34.45","33.70","3.33M","-1.31%"
"12/23/2024","34.25","34.50","34.65","34.05","3.48M","-0.15%"
"12/20/2024","34.30","34.15","34.40","33.90","5.90M","0.44%"
"12/19/2024","34.15","33.70","34.35","33.60","5.46M","-0.44%"
"12/18/2024","34.30","34.75","34.85","33.90","4.83M","0.15%"
"12/17/2024","34.25","34.40","34.70","33.85","10.44M","-1.30%"
"12/16/2024","34.70","35.70","36.55","34.45","9.80M","-3.34%"
"12/13/2024","35.90","36.30","36.30","35.50","6.02M","-1.91%"
"12/12/2024","36.60","36.40","37.40","35.85","6.57M","1.24%"
"12/11/2024","36.15","36.50","36.80","35.95","3.81M","-0.82%"
"12/10/2024","36.45","37.50","37.80","36.40","14.60M","0.55%"
"12/09/2024","36.25","35.15","36.30","34.95","6.87M","2.26%"
"12/06/2024","35.45","35.20","35.95","34.95","6.42M","0.71%"
"12/05/2024","35.20","35.25","35.30","34.85","4.73M","-0.98%"
"12/04/2024","35.55","35.55","35.80","35.20","5.12M","0.14%"
"12/03/2024","35.50","35.20","35.70","34.90","8.21M","1.14%"
"12/02/2024","35.10","34.90","35.95","34.60","11.97M","1.59%"
"11/29/2024","34.55","33.20","34.75","33.20","11.49M","4.07%"
"11/28/2024","33.20","33.70","33.80","33.10","3.91M","-0.90%"
"11/27/2024","33.50","32.50","33.60","32.45","5.56M","2.60%"
"11/26/2024","32.65","32.15","33.20","32.15","7.72M","1.08%"
"11/25/2024","32.30","32.85","32.90","31.75","11.63M","-0.92%"
"11/22/2024","32.60","32.90","33.75","32.35","9.21M","-1.21%"
"11/21/2024","33.00","32.95","33.05","32.65","3.65M","-0.30%"
"11/20/2024","33.10","32.65","33.10","32.50","7.07M","1.07%"
"11/19/2024","32.75","33.10","33.40","32.60","7.65M","0.00%"
"11/18/2024","32.75","33.00","33.15","32.50","5.28M","0.31%"
"11/15/2024","32.65","32.65","33.15","32.10","8.32M","0.15%"
"11/14/2024","32.60","34.00","34.15","32.30","19.74M","-4.54%"
"11/13/2024","34.15","34.45","34.55","33.10","17.41M","-1.44%"
"11/12/2024","34.65","35.85","36.45","34.35","13.84M","-3.62%"
"11/11/2024","35.95","35.50","36.00","34.80","10.42M","-0.96%"
"11/08/2024","36.30","36.80","37.90","35.95","12.87M","-0.14%"
"11/07/2024","36.35","34.00","36.50","33.95","26.38M","5.06%"
"11/06/2024","34.60","35.25","35.65","34.30","9.25M","-2.95%"
"11/05/2024","35.65","34.70","35.65","34.70","9.46M","2.30%"
"11/04/2024","34.85","34.85","35.10","34.50","5.04M","0.00%"
"11/01/2024","34.85","34.65","35.25","34.30","9.85M","0.87%"
"10/31/2024","34.55","34.90","35.15","34.30","6.80M","-1.00%"
"10/30/2024","34.90","34.85","35.50","34.75","11.06M","-0.57%"
"10/29/2024","35.10","35.10","35.65","34.75","12.03M","0.14%"
"10/28/2024","35.05","34.45","35.35","34.40","15.07M","2.19%"
"10/25/2024","34.30","33.70","34.60","33.70","33.47M","1.33%"
"10/24/2024","33.85","33.80","34.60","33.60","11.11M","-1.02%"
"10/23/2024","34.20","33.85","34.25","33.50","12.28M","1.03%"
"10/22/2024","33.85","33.80","34.35","33.40","14.70M","-0.29%"
"10/21/2024","33.95","34.90","34.90","33.45","16.06M","-3.00%"
