Period,Ticker,Name,Group,n_months,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
Before,LUV,Southwest Airlines,Treatment Big,60,0.01788969693168132,0.0903739666351402,0.004712945248429535,1.4470226238600958,0.6500343098571442,1.1934948559740762e-05,0.283489074484674
Before,NAS.OL,Norwegian Air Shuttle,Treatment Big,60,-0.007534549245404461,0.1670496321715437,-0.010149180594777284,0.28712924145069957,0.6540247791320855,0.6644508247811022,0.003266902493053059
Before,RYAAY,Ryanair Holdings,Treatment Big,60,0.007426353234277222,0.07621098036599652,0.0022558971047609015,0.5678005607858472,0.8218534526296044,0.0563177351293488,0.061380286328236666
Before,THYAO.IS,Turkish Airlines,Treatment Big,60,0.01747311426685403,0.11388321571957512,0.009291875955329052,0.8984336361908353,0.5338101756824116,0.04287379622237923,0.06882162689283322
Before,UAL,United Airlines Holdings,Treatment Big,60,0.013791032156754732,0.09092307891233026,0.00535910772087349,0.9259630684933648,0.6445695063861059,0.008127593071213633,0.11468627203320048
Before,AAVVF,Avianca Holdings SA,Treatment Small,60,-0.011614321072139094,0.11271843163851768,-0.0197143571815553,0.889516307672911,0.18489216717045986,0.042807965231381126,0.06886369577808016
Before,ALGT,Allegiant Travel,Treatment Small,60,0.008940407785943037,0.10065623672875386,0.0018355925750926645,0.7802247925422471,0.8893624758516763,0.04677448823065774,0.06644013203024968
Before,ALK,Alaska Air Group,Treatment Small,60,0.00795175630391229,0.08621495005751291,0.001119514063988945,0.7502918268868725,0.9203528015582961,0.024917690096944892,0.08374668821695641
Before,CHR.TO,Chorus Aviation,Treatment Small,34,0.010190726560915705,0.07323378744818781,-0.006356033247715074,1.514174829450145,0.5214548748049084,8.005734147206108e-06,0.46863112810319396
Before,CPA,Copa Holdings,Treatment Small,60,-0.00014121245838953725,0.11709220966755801,-0.013087097772700179,1.4216697245282452,0.36952494917492706,0.0013791831088682594,0.16300983163114824
Before,JET2.L,Jet2 plc,Treatment Small,60,0.02297195553678705,0.10521895263993036,0.017939122135823507,0.5526873366346831,0.20499216215004007,0.18193374125514145,0.030510087384882256
Before,TUI1.DE,TUI Group,Treatment Small,60,0.0017600290131018863,0.08582512793546712,-0.0031892178510657876,0.5435081692115403,0.7794049132629027,0.10630202196768837,0.04434611774889041
